xcor,ycor,velocidad,timecreac,tramosid,tonelaje,
20124303,839944417,0,43469.01225,-1,222.1,
20124303,839944438,0,43469.01227,-1,222.1,
20124303,839944438,0,43469.01229,-1,222.1,
20124303,839944438,0,43469.01231,-1,222.1,
20124303,839944438,0.18,43469.01234,-1,222.1,
20124303,839944417,1.29,43469.01236,-1,222.1,
20124303,839944406,3.51,43469.01238,-1,222.1,
20124628,839944759,6.66,43469.01241,-1,222.1,
20124953,839945111,8.33,43469.01243,-1,237.9,
20125442,839945529,10.55,43469.01245,-1,237.9,
20125442,839945529,10.55,43469.01248,-1,237.9,
20126014,839945874,10.74,43469.0125,-1,237.9,
20127413,839945954,12.59,43469.01252,4833,237.9,
20128239,839945742,14.26,43469.01255,4833,237.9,
20129398,839945144,15.92,43469.01257,4833,237.9,
20130146,839944604,17.59,43469.01259,4833,237.9,
20130895,839943937,17.59,43469.01262,4833,237.9,
20131563,839943111,18.89,43469.01264,4833,237.9,
20131563,839943111,18.89,43469.01266,4833,244.3,
20132315,839942180,21.85,43469.01269,4833,244.3,
20133239,839940639,23.33,43469.01271,4833,244.3,
20133830,839939432,24.81,43469.01273,4833,244.3,
20134340,839938118,25.37,43469.01275,4833,244.3,
20134768,839936729,26.11,43469.01278,4833,244.3,
20135115,839935329,25.74,43469.0128,4833,244.3,
20135461,839933950,25,43469.01282,4833,244.3,
20135560,839932546,25.55,43469.01285,4833,244.3,
20135742,839931070,26.48,43469.01287,4833,244.3,
20135842,839929603,27.59,43469.01289,4833,244.3,
20136108,839928054,29.26,43469.01292,4833,244.3,
20136795,839925750,28.7,43469.01294,4833,244.3,
20137387,839924363,24.81,43469.01296,4833,244.3,
20137387,839924363,24.81,43469.01299,4260,244.3,
20138059,839923273,19.26,43469.01301,4260,244.3,
20138481,839922465,16.29,43469.01303,4260,244.3,
20138982,839921806,13.89,43469.01306,4260,244.3,
20139402,839921188,12.4,43469.01308,4260,244.3,
20139903,839920603,13.14,43469.0131,4260,244.3,
20140318,839920280,13.33,43469.01312,4260,244.3,
20140816,839919927,13.7,43469.01315,4260,244.3,
20141564,839919387,15,43469.01317,4260,244.3,
20142062,839918992,14.81,43469.01319,4260,244.3,
20142062,839918992,14.81,43469.01322,4260,244.3,
20142895,839918168,15.18,43469.01324,4260,244.3,
20143480,839917488,15.55,43469.01326,4260,244.3,
20143901,839916723,15.92,43469.01329,4260,244.3,
20144322,839915925,16.29,43469.01331,4260,244.3,
20144744,839915033,17.03,43469.01333,4260,244.3,
