ycor,velocidad,timecreac,tramosid,tonelaje,tonhora
839770153,2240,43469.01669,86,2443,7320
839767621,2296,43469.01671,86,2443,7320
839766350,2240,43469.01674,86,2443,7320
839765183,2259,43469.01676,86,2443,7320
839765183,2259,43469.01678,86,2443,7320
839762337,2296,43469.01681,86,2443,7320
839762337,2296,43469.01683,86,2443,7320
839761365,2333,43469.01685,86,2443,7320
839760592,2370,43469.01687,86,2443,7320
839760268,2315,43469.0169,86,2443,7320
839759467,2222,43469.01692,86,2443,7320
839758978,2185,43469.01694,86,2443,7320
839758466,2222,43469.01697,86,2443,7320
839757748,2277,43469.01699,86,2443,7320
839757748,2277,43469.01701,86,2443,7320
839757288,2240,43469.01704,86,2443,7320
839756675,2240,43469.01706,86,2443,7320
839756176,2259,43469.01708,23,2443,7320
839756176,2259,43469.01711,23,2443,7320
839755855,2296,43469.01713,23,2443,7320
839755607,2240,43469.01715,23,2443,7320
839755329,2240,43469.01718,23,2443,7320
839754969,2259,43469.0172,23,2443,7320
839754732,2277,43469.01722,23,2443,7320
839754473,2259,43469.01725,23,2443,7320
839754328,2277,43469.01727,23,2443,7320
839753935,2240,43469.01729,23,2443,7320
839753935,2240,43469.01731,23,2443,7320
839753288,2259,43469.01734,23,2443,7320
null,null,43469.01736,null,null,7320
839753288,2259,43469.01738,23,2443,7320
839753011,2259,43469.01741,23,2443,7320
839752827,2240,43469.01743,22,2443,7320
839752547,2203,43469.01745,22,2443,7320
839752301,2240,43469.01748,22,2443,7320
839751712,2222,43469.0175,22,2443,7320
839751712,2222,43469.01752,22,2443,7320
839750995,2259,43469.01755,22,2443,7320
839750995,2259,43469.01757,22,2443,7320
839750203,2277,43469.01759,22,2443,7320
839749578,2259,43469.01762,22,2443,7320
839748900,2296,43469.01764,22,2443,7320
839748203,2240,43469.01766,22,2443,7320
839746996,2185,43469.01769,22,2443,7320
839746996,2185,43469.01771,22,2443,7320
839745567,2259,43469.01773,21,2443,7320
839744650,2315,43469.01775,21,2443,7320
839743188,2222,43469.01778,21,2443,7320
839742333,2259,43469.0178,21,2443,7320
839741509,2315,43469.01782,21,2443,7320
839741509,2315,43469.01785,21,2443,7320
839740309,2259,43469.01787,21,2443,7320
839739673,2222,43469.01789,21,2443,7320
839738946,2315,43469.01792,21,2443,7320
839738946,2315,43469.01794,21,2443,7320
839738530,2703,43469.01796,21,2443,7320
839738512,3055,43469.01799,3022,2443,7320
839738626,3444,43469.01801,3022,2443,7320
839738790,3907,43469.01803,3022,2443,7320
839738790,3907,43469.01806,3022,2443,7320
839739210,4518,43469.01808,3022,2443,7320
839739484,4870,43469.0181,3022,2443,7320
839739694,5130,43469.01812,3022,2443,7320
839739694,5130,43469.01815,3022,2443,7320
839740269,5352,43469.01817,3022,2443,7320
839740604,5407,43469.01819,3022,2443,7320
839740604,5407,43469.01822,3022,2443,7320
839740769,5500,43469.01824,3022,2443,7320
839740879,5481,43469.01826,3022,2443,7320
839740950,5352,43469.01829,3022,2443,7320
839740950,5352,43469.01831,3022,2443,7320
839741030,5241,43469.01833,3022,2443,7320
839741047,5148,43469.01836,3022,2443,7320
839741012,4926,43469.01838,2968,2443,7320
839741012,4926,43469.0184,2968,2443,7320
839740946,4870,43469.01843,2968,2443,7320
839740882,4778,43469.01845,2968,2443,7320
839740845,4555,43469.01847,2968,2443,7320
839740783,4481,43469.0185,2968,2443,7320
839740673,4444,43469.01852,2968,2443,7320
839740673,4444,43469.01854,2968,2443,7320
839740433,4333,43469.01856,2968,2443,7320
839740232,4185,43469.01859,2968,2443,7320
839740192,4092,43469.01861,2968,2443,7320
839740048,4018,43469.01863,2968,2443,7320
839739852,3926,43469.01866,2968,2443,7320
839739591,3555,43469.01868,2968,2443,7320
839739441,3370,43469.0187,2968,2443,7320
839739228,3278,43469.01873,2967,2443,7320
839739058,3203,43469.01875,2967,2443,7320
839738934,2815,43469.01877,2967,2443,7320
839738778,2815,43469.0188,2967,2443,7320
839738443,3000,43469.01882,2967,2443,7320
839738200,3129,43469.01884,2967,2443,7320
839737906,3000,43469.01887,2967,2443,7320
839737906,3000,43469.01889,2967,2443,7320
839737727,2944,43469.01891,2967,2443,7320
839737295,2963,43469.01894,2967,2443,7320
839736326,3074,43469.01896,2967,2443,7320
839735947,3000,43469.01898,12,2443,7320
839735432,3055,43469.019,12,2443,7320
null,null,43469.01903,null,null,7320
839734777,3296,43469.01905,12,2443,7320
839733332,3518,43469.01907,12,2443,7320
839732765,3463,43469.0191,12,2443,7320
839731376,3518,43469.01912,12,2443,7320
839729005,3463,43469.01914,12,2443,7320
839729005,3463,43469.01917,12,2443,7320
839727256,3315,43469.01919,12,2443,7320
839725594,3203,43469.01921,12,2443,7320
839723943,3092,43469.01924,12,2443,7320
839720862,3111,43469.01926,4030,2443,7320
839720862,3111,43469.01928,4030,2443,7320
839717006,2907,43469.01931,4030,2443,7320
839715533,2870,43469.01933,4030,2443,7320
839715533,2870,43469.01935,4030,2443,7320
839713974,2889,43469.01937,4030,2443,7320
839712413,2944,43469.0194,4030,2443,7320
839710110,2740,43469.01942,4030,2443,7320
839708699,2407,43469.01944,4030,2443,7320
839707500,2166,43469.01947,4030,2443,7320
839706386,1777,43469.01949,4030,2443,7320
839705442,1574,43469.01951,4031,2443,7320
839704689,1166,43469.01954,4031,2443,7320
839704010,1277,43469.01956,4031,2443,7320
839702961,1426,43469.01958,4031,2443,7320
839702961,1426,43469.01961,4031,2443,7320
839702270,1333,43469.01963,4031,2443,7320
839701411,296,43469.01965,4031,2443,7320
839701178,629,43469.01968,4031,2443,7320
839701178,629,43469.0197,4031,2443,7320
839700987,740,43469.01972,4031,2443,7320
839700509,1000,43469.01975,4031,2443,7320
839699904,1240,43469.01977,4031,2443,7320
839699171,1481,43469.01979,4031,2443,7320
839697017,1870,43469.01981,4031,2443,7320
839695977,2000,43469.01984,4031,2443,7320
839695977,2000,43469.01986,4031,2443,7320
839694480,2129,43469.01988,4031,2443,7320
839694011,2166,43469.01991,4031,2443,7320
839693188,2166,43469.01993,4032,2443,7320
839692511,2296,43469.01995,4032,2443,7320
839691685,2666,43469.01998,4032,2443,7320
839691685,2666,43469.02,4032,2443,7320
839691275,2870,43469.02002,4032,2443,7320
839691033,2870,43469.02005,4032,2443,7320
839691045,3000,43469.02007,4032,2443,7320
