Fecha,Turno,Area,Actividad,Origen,Destino,Volquete,Placa,Capacidad,PesoViaje,Contrata,EquipoCarguio,# Pases,Capacidad Exc,TipoEquipoCarguio,Material,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_940SS,T0Q-911,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,0,14.681
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_945SS,T0Q-922,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,78.45,1403,108.311536,10.05,15.473
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_528CJ,T0D-826,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,235.35,1403,324.93461,9.94,14.728
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_529CJ,T0D-841,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,261.5,1403,361.038456,10.02,14.637
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_530CJ,T0D-843,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,5.81,15.157
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_531CJ,T0N-885,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,261.5,1403,361.038456,10.93,13.74
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_532CJ,T0R-905,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,209.2,1403,288.830764,9.98,14.231
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_533CJ,T0S-939,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,209.2,1403,288.830764,10.2,14.972
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_534CJ,T0T-920,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,261.5,1403,361.038456,10.72,14.848
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_535CJ,T0T-889,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,209.2,1403,288.830764,10.55,14.28
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_536CJ,T0T-838,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,287.65,1403,397.142301,10.47,14.492
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_537CJ,T0T-914,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,287.65,1403,397.142301,10.31,14.18
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_538CJ,TAB-852,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,261.5,1403,361.038456,10.37,15.245
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_539CJ,TAA-935,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,287.65,1403,397.142301,10.61,14.085
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_13CED,TOU-907,24,37.392,TRANSPORTES E INVERSIONES CEDAR S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,78.45,1403,108.311536,10.07,13.361
